name,category,start_price,wifi_status,wifi_speed,conclusion,point_to_consider,street,urban_village,district,regency,province,postal_code
Jati Kopi - Dipatiukur,"nyaman, daya tarik bangunan, cita rasa, populer, estetik,semi outdoor ",20,Available,Slow,Preferable,"Crowded, Berisik + Koneksi Internet Lemot",Jl. H. Wasid No.31,Lebakgede,Coblong,Kota Bandung,Jawa Barat ,40132
Tjimanoek 43,"signature coffe rasanya unik dan enak, musholla luas, parkir terbatas, pelayan ramah, semi outdoor",17,Available,Very Fast,Preferable,WFC-able,Jl. Cimanuk No.43,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat ,40115
996 Council,"wfc able, staff ramah, instagramable, industrialis dan pop culture, cozy, cita rasa unik",22,Available,Fine,Preferable,Panas (Ketika Siang) + Meja (Kerendahan) dan Kursi (Tanpa Senderan) di Area Outdoor Kurang Support Buat Laptop-an,Jl. Trunojoyo No.4,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat ,40115
ManA Social Cafe,"lokasi strategis, estetik, populer, instagramable, semi outdoor",21,Available,Very Fast,Preferable,"Crowded, Berisik + Panas (Ketika Siang)",Jl. Buah Batu No.127,Cijagra,Lengkong,Kota Bandung,Jawa Barat ,40265
Morgy Coffee,"instagramable, cita rasa, bangunan unik, nature vibes, wfc able",27,Available,Very Fast,Preferable,"Semakin Siang Semakin Crowded + Jangan Duduk di Ruang Belajar, Jika Kamu Pengen Experience Wi-Fi dengan Koneksi yang Kenceng",Jl. Anggrek No.46,Cihapit,Bandung Wetan,Kota Bandung,Jawa Barat ,40114
Arah Coffee - Pasundan,"cozy, live music, populer, indoor, wfc able, indoor dan outdoor",21,Available,Very Fast,Preferable,WFC-able,Jl. Sukajadi No.204,Cipedes,Sukajadi,Kota Bandung,Jawa Barat ,40162
Marka Cafe,"smoking area, pesen via QR code, indoor, instagramable, bangunan unik, ambience",20,Available,Fast,Preferable,Boring Design,Talaga Bodas St No.32,Malabar,Lengkong,Kota Bandung,Jawa Barat ,40262
Plus Forty Nine Cafe & Space,"outdoor dan indoor, pelayan ramah, smoking area, wfc able, affordable price",18,Available,Fast,Preferable,WFC-able,Jl. Tubagus Ismail No.49,Sekeloa,Coblong,Kota Bandung,Jawa Barat ,40134
Brewspace Coffee,"study from café, no smoking area, working space, remote working, beatiful view",22,Available,Very Fast,Preferable,WFC-able,Jl. Prabu Dimuntur No.22,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat ,40115
Capdangu,"cozy, jauh dari keramaian, back to nature, wfc able, cashless only, affordable price",28,Available,Slow,Preferable,"Crowded, Berisik + Koneksi Internet Lemot",Jl. Tubagus Ismail VIII No.45,Sekeloa,Coblong,Kota Bandung,Jawa Barat ,40134
Kopi Kohi,"open air, staff ramah, open space, bangunan jepang, live music, ambience, hidden gem",29,Available,Very Slow,Non-WFC-able,Non-WFC-able,Jl. L. L. R.E. Martadinata No.193,Cihapit,Bandung Wetan,Kota Bandung,Jawa Barat ,40114
Monday Coffee - Dago,"suasana sejuk, vibes tenang, indoor smoking, indoor dan outdoor, service bagus",30,Available,Fine,Preferable,"Crowded, Berisik",Jl. Bukit Dago Utara I No.9,Dago,Coblong,Kota Bandung,Jawa Barat ,40135
Kofu Coffee - Buah Batu,"baby chair available, VIP room, cozy, instagramable, estetik, tempat luas, smoking area",31,Available,Very Fast,Preferable,"Crowded, Berisik",Jl. Buah Batu No.70,Burangrang,Lengkong,Kota Bandung,Jawa Barat ,40262
Kumari Bake & Brew,"estetik, desain interior estetik, daya tarik menu, nyaman, ambience, outdoor space",28,Available,Very Slow,Preferable,Koneksi Internet Lemot + Limited Wi-Fi Selama 2 Jam,Jl. Bagusrangin No.1,Lebakgede,Coblong,Kota Bandung,Jawa Barat ,40132
Ruang Duduk,"wfc able, smoking room, silent room, meeting room, coworking space, cozy",22,Available,Fast,Preferable,"Lack of Hospitality, Boring Design (Indoor Only)",Jl. Wayang No.2,Burangrang,Lengkong,Kota Bandung,Jawa Barat ,40262
The Bloei,"indoor dan outdoor, tenang, cozy, ambience, family friendly, enak dan nyaman",22,Available,Very Fast,WFC-able,Not Smoker Friendly (Hanya Area Indoor (Non-Smoking) yang Proper Untuk Laptop-an),Jl. Patuha No.26,Lkr. Sel.,Lengkong,Kota Bandung,Jawa Barat ,40263
Ekara Coffee & Mocktails,"beatiful view, non-smoking area, semi-outdoor, outdoor, aesthetic, tema Harry Potter",25,Available,Fine,WFC-able,Koneksi Internet Lemot (Ketika Kondisi Crowded),Jl. Bukit Jarian No.17,Hegarmanah,Cidadap,Kota Bandung,Jawa Barat ,40141
Ceritera,"food and beverage, cozy, hidden gem, nyaman, sunyi, bersih, ambience",24,Available,Fine,Preferable,Panas (Ketika Siang),Jl. Ciumbuleuit,Ciumbuleuit,Cidadap,Kota Bandung,Jawa Barat ,40141
Kuro Koffee,"tema animasi dari studio ghibli, cozy dan lucu, indoor dan outdoor, experience",22,Available,Fine,Preferable,"Crowded, Berisik + Koneksi Internet Lemot (Ketika Kondisi Crowded)",Jl. Ciumbuleuit No.130,Ciumbuleuit,Cidadap,Kota Bandung,Jawa Barat ,40141
One Eighty Coffee & Music,"live music, kolam renang, indoor dan outdoor, cozy place, tempat strategis, parkir luas",25,Available,Very Slow,Preferable,Lack of Hospitality,Jl. Ganesa No.3,Lb. Siliwangi,Coblong,Kota Bandung,Jawa Barat ,40132
Two Cents,"outdoor dan indoor, nyaman, sejuk, tempat asri, wfc able, well decorated, bersih dan aesthetic",28,Available,Fast,Preferable,"Crowded, Berisik + Koneksi Internet Lemot",Jl. Lombok No.28a,Merdeka,Bandung Wetan,Kota Bandung,Jawa Barat ,40115
Lamansua Coffee,"indoor dan outdoor, tempat adem, chill vibes, meeting room,  staff ramah",25,Available,Fine,WFC-able,"Meja & Kursi Kurang Nyaman (Kependekan), Colokan Hanya Ada di Spot Tertentu",Jl. Sawunggaling No.5,Tamansari,Bandung Wetan,Kota Bandung,Jawa Barat ,40116
Grace Coffee & Space,"nyaman, enak, hommy, cozy, outdoor, indoor, semi outdoor, aesthetic place",26,Available,Fine,WFC-able,Area Outdoor Panas (Ketika Siang),Jl. Ciumbuleuit No.112,Ciumbuleuit,Cidadap,Kota Bandung,Jawa Barat ,40141
Habitaas,"hidden gem, outdoor tema alam, cashless only, nyaman, enak, ramah, lokasi strategis",29,Available,Fast,Preferable,Meja Bagian Outdoor Area Terasa Goyang (Karena Permukaan Tanah yang Kurang Rata),Jl. Raden Patah No.3,Lebakgede,Coblong,Kota Bandung,Jawa Barat ,40132
San Gimignano,"romantic dinner, cita rasa unik, instagramable, indoor dan outdoor, suasana italian",33,Available,Fine,WFC-able,Beberapa Meja Ukurannya Sedikit Terlalu Kecil (Kurang Support Buat Laptop-an),LLRE Martadinata St No.89,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat ,40115
The Houseplants Coffee,"cozy place, dekorasi alam, ambience chill, hidden gem, instagramable",23,Available,Very Fast,WFC-able,WFC-able,Jl. Bengawan No.16,Cihapit,Bandung Wetan,Kota Bandung,Jawa Barat ,40114
Kisah Manis - Sunda,"service bagus, aesthetic, cozy, bersih, smoking area, cita rasa unik",25,Available,Very Fast,WFC-able,Semakin Siang Semakin Crowded,Jl. Sunda No.65,Kb. Pisang,Sumur Bandung,Kota Bandung,Jawa Barat ,40113
Northwood - Setiabudi,"cita rasa, nyaman, chill to hangout, staff ramah, cozy, suasana alam",18,Available,Slow,Preferable,Semakin Siang Semakin Crowded,Jl. Dr. Setiabudi No.56,Hegarmanah,Cidadap,Kota Bandung,Jawa Barat ,40141
Maison De La Sol,"warm, classic & cozy, ornamen interior, instagramanble, vibes chill dan nyaman, tema art deco",30,Available,Fast,WFC-able,Buka Jam 11.00,Jl. Cihampelas No.36,Tamansari,Bandung Wetan,Kota Bandung,Jawa Barat ,40116
Kawan Kopi 3.0 - Talaga Bodas,"tempat strategis, nyaman, afforadble price, tenang dan sejuk, smoking area dan non smoking",20,Available,Slow,Preferable,Panas (Ketika Siang) + Limited Wi-Fi Selama 2 Jam (Tapi Bisa Ambil Lagi di Kasir Tanpa Spend Apapun),Talaga Bodas St No.16,Malabar,Lengkong,Kota Bandung,Jawa Barat ,40262
Nurona Space,"live music, kolam renang, cozy, pelayan ramah, instagramable, view keren",23,Available,Fast,Preferable,"Panas (Ketika Siang) + Crowded, Berisik + Koneksi Internet Lemot",Jl. Arcamanik Endah No.40A,Sukamiskin,Arcamanik,Kota Bandung,Jawa Barat ,40293
Kozi Budara,"banyak kucing, cozy, hidden gem, adorable price, vibes nyaman dan hommy",21,Available,Very Fast,WFC-able,Beberapa Meja Sedikit Terlalu Kecil (Kurang Support Buat Laptop-an),Jl. Bukit Dago Utara No.28,Dago,Coblong,Kota Bandung,Jawa Barat ,40135
Bahagia Kopi 2.0 - Halimun,"non-smoking area dan smoking area, cozy, bersih, wfc able, eco friendly",23,Available,Very Fast,WFC-able,WFC-able,Jl. Halimun No.21,Lkr. Sel.,Lengkong,Kota Bandung,Jawa Barat ,40263
1994 Coffee & Creative Space,"live music, view sunset, top hospitality, co-working space, barista, high view",26,Available,Slow,Preferable,"Hanya Indoor, Co-Working Cabin, & Meeting Area yang Support untuk Laptop-an",Jl. Pakar Timur No. 10,Ciburial,Cimenyan,Kabupaten Bandung,Jawa Barat ,40198
Circolo Restaurant & Bar,"cita rasa, chill vibes, tempat strategis, pelayan ramah, familly friendly, cozy dan aesthetic",30,Available,Fine,Preferable,WFC-able,Jl. Sukajadi No.198,Pasteur,Sukajadi,Kota Bandung,Jawa Barat ,40162
Railway Coffee - Kebon Jukut,"view kereta, signature coffe unik, cozy, wfc able, nyaman, tema industrial bar, lokasi strategis",20,Available,Fast,WFC-able,Kurang Spacious (Kecil),"Selamet Ban, Jl. Kb. Jukut No.17",Babakan Ciamis,Sumur Bandung,Kota Bandung,Jawa Barat ,40117
Sawo Coffee - Rontgent,"hidden gem, introvert rekomended, clean dan cozy, japanese garden style, wfc able, affordable price",24,Available,Very Fast,WFC-able,Koneksi Internet Lemot + Meja (Goyang) di Area Indoor & Kursi (Tanpa Senderan) di Area Outdoor/Balkon Kurang Support Buat Laptop-an,Jl. Rontgent No.4,Pasir Kaliki,Cicendo,Kota Bandung,Jawa Barat ,40171
SEKO,"view kereta, barista, cozy, viral tiktok, chill vibes, nyaman, bersih, suasana asik",15,Available,Slow,Preferable,Non-WFC-able,Jl. Natuna No.47,Pisang,Sumur Bandung,Kota Bandung,Jawa Barat ,40112
Saraga Coffee,"spot alam, sejuk, back to nature, introvert rekomended, book self, echo freindly",18,Available,Very Fast,WFC-able,Meja (Cukup Rendah) dan Kursi (Tanpa Senderan) di Area Outdoor Kurang Support Buat Laptop-an,Jl. Cigadung Raya Barat No.2,Cigadung,Cibeunying Kaler,Kabupaten Bandung,Jawa Barat ,40191
Hidangan Rumah,"estetik desain, cozy, affordable price, nyaman, desain interior unik, comfy place",18,Available,Fast,WFC-able,"Crowded, Berisik + Kurang Spacious (Kecil)","Jl, Taman Pelesiran No.21",Cipaganti,Coblong,Kota Bandung,Jawa Barat ,40131
Paberik Kopi Upnormal Coffee Roasters Cihampelas 96,"smoking area, desain interior unik, merchandise available, nyaman, hangout rekomended",21,Available,Fast,WFC-able,WFC-able,Jl. Cihampelas No.96,Tamansari,Bandung Wetan,Kota Bandung,Jawa Barat ,40116
LSD Coffee 2.0,"cozy, barista, pelayan ramah, suasana adem, asri, hidden gem, chill vibes",22,Available,Fine,Preferable,WFC-able,Cilaki St No.22,Cihapit,Bandung Wetan,Kota Bandung,Jawa Barat ,40114
Kopi Karya Karsa,"wfc able, hangout rekomended, hidden gem, aesthetic, desain interior unik, nyaman",18,Available,Very Fast,WFC-able,Panas (Ketika Siang) + Crowded (Karena Anak-Anak Agency Sebelah Ada yang Kerja Di Coffee Shop Ini Juga),Jl. Setrasari Indah No.4A,Sukarasa,Sukasari,Kota Bandung,Jawa Barat ,40152
