name,category,start_price,wifi_status,wifi_speed,conclusion,point_to_consider,street,urban_village,district,regency,province,postal_code
Jati Kopi - Dipatiukur,kafe,20,Available,Slow,Preferable,"Crowded, Berisik + Koneksi Internet Lemot",Jl. H. Wasid No.31,Lebakgede,Coblong,Kota Bandung,Jawa Barat ,40132
Tjimanoek 43,kafe,17,Available,Very Fast,Preferable,WFC-able,Jl. Cimanuk No.43,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat ,40115
996 Council,kafe,22,Available,Fine,Preferable,Panas (Ketika Siang) + Meja (Kerendahan) dan Kursi (Tanpa Senderan) di Area Outdoor Kurang Support Buat Laptop-an,Jl. Trunojoyo No.4,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat ,40115
ManA Social Cafe,kafe,21,Available,Very Fast,Preferable,"Crowded, Berisik + Panas (Ketika Siang)",Jl. Buah Batu No.127,Cijagra,Lengkong,Kota Bandung,Jawa Barat ,40265
Morgy Coffee,kafe,27,Available,Very Fast,Preferable,"Semakin Siang Semakin Crowded + Jangan Duduk di Ruang Belajar, Jika Kamu Pengen Experience Wi-Fi dengan Koneksi yang Kenceng",Jl. Anggrek No.46,Cihapit,Bandung Wetan,Kota Bandung,Jawa Barat ,40114
Arah Coffee - Pasundan,kafe,21,Available,Very Fast,Preferable,WFC-able,Jl. Sukajadi No.204,Cipedes,Sukajadi,Kota Bandung,Jawa Barat ,40162
Marka Cafe,kafe,20,Available,Fast,Preferable,Boring Design,Talaga Bodas St No.32,Malabar,Lengkong,Kota Bandung,West Java ,40262
Plus Forty Nine Cafe & Space,kafe,18,Available,Fast,Preferable,WFC-able,Jl. Tubagus Ismail No.49,Sekeloa,Coblong,Kota Bandung,Jawa Barat ,40134
Brewspace Coffee,kafe,22,Available,Very Fast,Preferable,WFC-able,Jl. Prabu Dimuntur No.22,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat ,40115
Capdangu,kafe,28,Available,Slow,Preferable,"Crowded, Berisik + Koneksi Internet Lemot",Jl. Tubagus Ismail VIII No.45,Sekeloa,Coblong,Kota Bandung,Jawa Barat ,40134
Kopi Kohi,kafe,29,Available,Very Slow,Non-WFC-able,Non-WFC-able,Jl. L. L. R.E. Martadinata No.193,Cihapit,Bandung Wetan,Kota Bandung,Jawa Barat ,40114
Monday Coffee - Dago,kafe,30,Available,Fine,Preferable,"Crowded, Berisik",Jl. Bukit Dago Utara I No.9,Dago,Coblong,Kota Bandung,Jawa Barat ,40135
Kofu Coffee - Buah Batu,kafe,31,Available,Very Fast,Preferable,"Crowded, Berisik",Jl. Buah Batu No.70,Burangrang,Lengkong,Kota Bandung,Jawa Barat ,40262
Kumari Bake & Brew,kafe,28,Available,Very Slow,Preferable,Koneksi Internet Lemot + Limited Wi-Fi Selama 2 Jam,Jl. Bagusrangin No.1,Lebakgede,Coblong,Kota Bandung,Jawa Barat ,40132
Ruang Duduk,kafe,22,Available,Fast,Preferable,"Lack of Hospitality, Boring Design (Indoor Only)",Jl. Wayang No.2,Burangrang,Lengkong,Kota Bandung,Jawa Barat ,40262
The Bloei,kafe,22,Available,Very Fast,WFC-able,Not Smoker Friendly (Hanya Area Indoor (Non-Smoking) yang Proper Untuk Laptop-an),Jl. Patuha No.26,Lkr. Sel.,Lengkong,Kota Bandung,Jawa Barat ,40263
Ekara Coffee & Mocktails,kafe,25,Available,Fine,WFC-able,Koneksi Internet Lemot (Ketika Kondisi Crowded),Jl. Bukit Jarian No.17,Hegarmanah,Cidadap,Kota Bandung,Jawa Barat ,40141
Kuro Koffee,kafe,22,Available,Fine,Preferable,"Crowded, Berisik + Koneksi Internet Lemot (Ketika Kondisi Crowded)",Jl. Ciumbuleuit No.130,Ciumbuleuit,Cidadap,Kota Bandung,Jawa Barat ,40141
One Eighty Coffee & Music,kafe,25,Available,Fine,Preferable,Lack of Hospitality,Jl. Ganesa No.3,Lb. Siliwangi,Coblong,Kota Bandung,Jawa Barat ,40132
Two Cents,kafe,28,Available,Very Slow,Preferable,"Crowded, Berisik + Koneksi Internet Lemot",Jl. Lombok No.28a,Merdeka,Bandung Wetan,Kota Bandung,Jawa Barat ,40115
Lamansua Coffee,kafe,25,Available,Fast,Preferable,"Meja & Kursi Kurang Nyaman (Kependekan), Colokan Hanya Ada di Spot Tertentu",Jl. Sawunggaling No.5,Tamansari,Bandung Wetan,Kota Bandung,Jawa Barat ,40116
Grace Coffee & Space,kafe,26,Available,Fine,WFC-able,Area Outdoor Panas (Ketika Siang),Jl. Ciumbuleuit No.112,Ciumbuleuit,Cidadap,Kota Bandung,Jawa Barat ,40141
Habitaas,kafe,29,Available,Fine,WFC-able,Meja Bagian Outdoor Area Terasa Goyang (Karena Permukaan Tanah yang Kurang Rata),Jl. Raden Patah No.3,Lebakgede,Coblong,Kota Bandung,Jawa Barat ,40132
San Gimignano,kafe,33,Available,Fast,Preferable,Beberapa Meja Ukurannya Sedikit Terlalu Kecil (Kurang Support Buat Laptop-an),LLRE Martadinata St No.89,Citarum,Bandung Wetan,Kota Bandung,West Java ,40115
The Houseplants Coffee,kafe,23,Available,Fine,WFC-able,WFC-able,Jl. Bengawan No.16,Cihapit,Bandung Wetan,Kota Bandung,Jawa Barat ,40114
Kisah Manis - Sunda,kafe,25,Available,Very Fast,WFC-able,Semakin Siang Semakin Crowded,Jl. Sunda No.65,Kb. Pisang,Sumur Bandung,Kota Bandung,Jawa Barat ,40113
Northwood - Setiabudi,kafe,18,Available,Very Fast,WFC-able,Semakin Siang Semakin Crowded,Jl. Dr. Setiabudi No.56,Hegarmanah,Cidadap,Kota Bandung,Jawa Barat ,40141
Maison De La Sol,kafe,30,Available,Slow,Preferable,Buka Jam 11.00,Jl. Cihampelas No.36,Tamansari,Bandung Wetan,Kota Bandung,Jawa Barat ,40116
Kawan Kopi 3.0 - Talaga Bodas,kafe,20,Available,Fast,WFC-able,Panas (Ketika Siang) + Limited Wi-Fi Selama 2 Jam (Tapi Bisa Ambil Lagi di Kasir Tanpa Spend Apapun),Talaga Bodas St No.16,Malabar,Lengkong,Kota Bandung,West Java ,40262
Nurona Space,kafe,23,Available,Slow,Preferable,"Panas (Ketika Siang) + Crowded, Berisik + Koneksi Internet Lemot",Jl. Arcamanik Endah No.40A,Sukamiskin,Arcamanik,Kota Bandung,Jawa Barat ,40293
Kozi Budara,kafe,21,Available,Fast,Preferable,Beberapa Meja Sedikit Terlalu Kecil (Kurang Support Buat Laptop-an),Jl. Bukit Dago Utara No.28,Dago,Coblong,Kota Bandung,Jawa Barat ,40135
Bahagia Kopi 2.0 - Halimun,kafe,23,Available,Very Fast,WFC-able,WFC-able,Jl. Halimun No.21,Lkr. Sel.,Lengkong,Kota Bandung,Jawa Barat ,40263
Circolo Restaurant & Bar,kafe,30,Available,Very Fast,WFC-able,WFC-able,Jl. Sukajadi No.198,Pasteur,Sukajadi,Kota Bandung,Jawa Barat ,40162
Sawo Coffee - Rontgent,kafe,24,Available,Slow,Preferable,Koneksi Internet Lemot + Meja (Goyang) di Area Indoor & Kursi (Tanpa Senderan) di Area Outdoor/Balkon Kurang Support Buat Laptop-an,Jl. Rontgent No.4,Pasir Kaliki,Cicendo,Kota Bandung,Jawa Barat ,40171
Saraga Coffee,kafe,18,Available,Fine,Preferable,Meja (Cukup Rendah) dan Kursi (Tanpa Senderan) di Area Outdoor Kurang Support Buat Laptop-an,Jl. Cigadung Raya Barat No.2,Cigadung,Cibeunying Kaler,Kabupaten Bandung,Jawa Barat ,40191
Paberik Kopi Upnormal Coffee Roasters Cihampelas 96,kafe,21,Available,Fast,WFC-able,WFC-able,Jl. Cihampelas No.96,Tamansari,Bandung Wetan,Kota Bandung,Jawa Barat ,40116
LSD Coffee 2.0,kafe,22,Available,Very Fast,WFC-able,WFC-able,Cilaki St No.22,Cihapit,Bandung Wetan,Kota Bandung,West Java ,40114
Kopi Karya Karsa,kafe,18,Available,Slow,Preferable,Panas (Ketika Siang) + Crowded (Karena Anak-Anak Agency Sebelah Ada yang Kerja Di Coffee Shop Ini Juga),Jl. Setrasari Indah No.4A,Sukarasa,Sukasari,Kota Bandung,Jawa Barat ,40152
Beda Cerita,kafe,16,Available,Very Fast,WFC-able,"Panas (Ketika Siang), Kalau Mau Experience Internet Speed Dengan Kecepatan 200+ Mbps (25MBps), Cobain Duduk Di Sekitar Bar Area",Jl. Jatihandap No.138,Mandalamekar,Cimenyan,Kota Bandung,Jawa Barat ,40193
Four C'S - Riau,kafe,20,Available,Fast,WFC-able,"Tempatnya Ga Begitu Luas, Hanya Ada 1 Area (Semi-Outdoor/Non-Smoking) WFC-able (with 6 Tables and 20 Seats). Make Sure You Got One!",LLRE Martadinata St No.187,Cihapit,Bandung Wetan,Kota Bandung,West Java ,40113
Bagi Kopi - Ciumbuleuit,kafe,18,Available,Fast,WFC-able,"Internet Speed-nya Tidak Secepat Waktu Awal Gue Coba Test. Lambat Laun Bakal Berkurang Seiring Bertambahnya Crowd yang Dateng. Tapi, Selama Gue Coba Kerja Lebih Dari 3 Jam Di Sini Aman Kok..",Jl. Ciumbuleuit No.106a,Ciumbuleuit,Cidadap,Kota Bandung,Jawa Barat ,40142
The Kamasan,kafe,22,Available,Fine,Preferable,Di sini kalau pagi (between jam 7 - 10) cukup crowded dan noisy,Jl. Halmahera No.4,Citarum,Bandung Wetan,Kota Bandung,Jawa Barat ,40115
Mutu Loka,kafe,27,Available,Very Fast,WFC-able,"Mostly area yang proper dan support untuk laptop-an hanya ada di area non-smoking, jadi buat gue personally di sini kurang smoker-friendly (kalau konteksnya buat WFC)",Cilaki St No.33,Cihapit,Bandung Wetan,Kota Bandung,West Java ,40114
Semaru Coffee & Studio,kafe,25,Available,Fast,WFC-able,"Kalau siang, di sini cukup gerah dan panas",Jl. Brigadir Jend. Katamso No.13,Cihaur Geulis,Cibeunying Kaler,Kota Bandung,Jawa Barat ,40122
Trois Coffee & Chill,kafe,18,Available,Fine,WFC-able,"Mostly area di sini outdoor dan misbar (gerimis bubar), kalau mau WFC di sini aku suggest kamu buat duduk di area deket Bar karena semi-indoor (gak misbar) dan jangan lupa bawa colokan panjang dari rumah (karena kebetulan jarak seating area dan colokan sekitar 1,5 meter)",Jl. Bukit Pakar Utara No.42B,Ciburial,Cimenyan,Kabupaten Bandung,Jawa Barat ,40198
